origin,dest,job_totals,start_lat,start_lon,end_lat,end_lon,Date,Time,minutes
24510200701,24510010100,2,39.2900137,-76.6807033,39.2786343,-76.5745793,11/01/2022,08:00AM,60.61666666666667
24510210200,24510010100,2,39.2775819,-76.6395975,39.2786343,-76.5745793,11/01/2022,08:00AM,35.95
24510220100,24510010100,3,39.2827739,-76.6139104,39.2786343,-76.5745793,11/01/2022,08:00AM,27.383333333333333
24510230100,24510010100,4,39.2758115,-76.6170686,39.2786343,-76.5745793,11/01/2022,08:00AM,35.56666666666667
24510230200,24510010100,4,39.2740126,-76.6134847,39.2786343,-76.5745793,11/01/2022,08:00AM,33.63333333333333
24510230300,24510010100,3,39.2643329,-76.6193615,39.2786343,-76.5745793,11/01/2022,08:00AM,47.06666666666667
24510240100,24510010100,6,39.2650952,-76.5874454,39.2786343,-76.5745793,11/01/2022,08:00AM,51.15
24510240300,24510010100,1,39.2758588,-76.6105163,39.2786343,-76.5745793,11/01/2022,08:00AM,37.45
24510240400,24510010100,2,39.2647359,-76.5991303,39.2786343,-76.5745793,11/01/2022,08:00AM,45.266666666666666
24510250101,24510010100,2,39.2771141,-76.7003721,39.2786343,-76.5745793,11/01/2022,08:00AM,63.583333333333336
24510250204,24510010100,2,39.2471578,-76.6271723,39.2786343,-76.5745793,11/01/2022,08:00AM,47.63333333333333
24510250205,24510010100,1,39.2506457,-76.6403025,39.2786343,-76.5745793,11/01/2022,08:00AM,62.9
24510250301,24510010100,3,39.2623356,-76.6349462,39.2786343,-76.5745793,11/01/2022,08:00AM,47.63333333333333
24510260102,24510010100,1,39.33497,-76.5404207,39.2786343,-76.5745793,11/01/2022,08:00AM,56.333333333333336
24510260201,24510010100,6,39.329586,-76.5500474,39.2786343,-76.5745793,11/01/2022,08:00AM,48.7
24510260202,24510010100,5,39.3252333,-76.5566614,39.2786343,-76.5745793,11/01/2022,08:00AM,48.68333333333333
24510260301,24510010100,2,39.3221262,-76.5666573,39.2786343,-76.5745793,11/01/2022,08:00AM,41.88333333333333
24510260302,24510010100,3,39.3170679,-76.5644287,39.2786343,-76.5745793,11/01/2022,08:00AM,43.166666666666664
24510260401,24510010100,5,39.3062321,-76.5527959,39.2786343,-76.5745793,11/01/2022,08:00AM,46.38333333333333
24510260402,24510010100,5,39.3168618,-76.541276,39.2786343,-76.5745793,11/01/2022,08:00AM,48.63333333333333
24510260404,24510010100,5,39.3000662,-76.552863,39.2786343,-76.5745793,11/01/2022,08:00AM,38.43333333333333
24510260501,24510010100,14,39.288347,-76.5423935,39.2786343,-76.5745793,11/01/2022,08:00AM,33.56666666666667
24510260605,24510010100,13,39.2583782,-76.5496645,39.2786343,-76.5745793,11/01/2022,08:00AM,43.86666666666667
24510260700,24510010100,6,39.2862814,-76.5586427,39.2786343,-76.5745793,11/01/2022,08:00AM,25.55
24510260800,24510010100,10,39.2901606,-76.5659569,39.2786343,-76.5745793,11/01/2022,08:00AM,19.316666666666666
24510260900,24510010100,13,39.2832964,-76.5656399,39.2786343,-76.5745793,11/01/2022,08:00AM,13.4
24510261000,24510010100,11,39.2935829,-76.5708757,39.2786343,-76.5745793,11/01/2022,08:00AM,16.0
24510261100,24510010100,8,39.2829568,-76.570055,39.2786343,-76.5745793,11/01/2022,08:00AM,12.6
24510270102,24510010100,3,39.3384113,-76.5597082,39.2786343,-76.5745793,11/01/2022,08:00AM,47.13333333333333
24510270301,24510010100,5,39.3488223,-76.5722952,39.2786343,-76.5745793,11/01/2022,08:00AM,51.266666666666666
24510270302,24510010100,1,39.3448975,-76.5638561,39.2786343,-76.5745793,11/01/2022,08:00AM,47.416666666666664
24510270501,24510010100,10,39.3656275,-76.5361691,39.2786343,-76.5745793,11/01/2022,08:00AM,64.75
24510270502,24510010100,5,39.3570603,-76.5441945,39.2786343,-76.5745793,11/01/2022,08:00AM,61.516666666666666
24510270600,24510010100,2,39.3583436,-76.5660281,39.2786343,-76.5745793,11/01/2022,08:00AM,55.0
24510270702,24510010100,2,39.3643635,-76.562741,39.2786343,-76.5745793,11/01/2022,08:00AM,59.36666666666667
24510270802,24510010100,3,39.3614244,-76.5928428,39.2786343,-76.5745793,11/01/2022,08:00AM,56.916666666666664
24510270803,24510010100,4,39.3642762,-76.580326,39.2786343,-76.5745793,11/01/2022,08:00AM,59.0
24510270805,24510010100,4,39.3596241,-76.6033509,39.2786343,-76.5745793,11/01/2022,08:00AM,59.61666666666667
24510270901,24510010100,3,39.34997,-76.594983,39.2786343,-76.5745793,11/01/2022,08:00AM,51.35
24510270902,24510010100,2,39.3509521,-76.5843196,39.2786343,-76.5745793,11/01/2022,08:00AM,54.53333333333333
24510270903,24510010100,1,39.3426876,-76.5900973,39.2786343,-76.5745793,11/01/2022,08:00AM,46.1
24510271001,24510010100,1,39.3430254,-76.6050586,39.2786343,-76.5745793,11/01/2022,08:00AM,51.95
24510271002,24510010100,4,39.3504128,-76.604392,39.2786343,-76.5745793,11/01/2022,08:00AM,55.45
24510271501,24510010100,1,39.3642233,-76.661476,39.2786343,-76.5745793,11/01/2022,08:00AM,64.71666666666667
24510271600,24510010100,1,39.3432051,-76.6655877,39.2786343,-76.5745793,11/01/2022,08:00AM,64.46666666666667
24510271700,24510010100,4,39.351553,-76.6693332,39.2786343,-76.5745793,11/01/2022,08:00AM,68.76666666666667
24510271900,24510010100,1,39.3556338,-76.6821514,39.2786343,-76.5745793,11/01/2022,08:00AM,64.15
24510272003,24510010100,1,39.3633286,-76.6854724,39.2786343,-76.5745793,11/01/2022,08:00AM,70.5
24510272006,24510010100,1,39.3566463,-76.6965328,39.2786343,-76.5745793,11/01/2022,08:00AM,66.55
24510272007,24510010100,1,39.3636968,-76.7064881,39.2786343,-76.5745793,11/01/2022,08:00AM,71.1
24510280101,24510010100,4,39.3516279,-76.6998407,39.2786343,-76.5745793,11/01/2022,08:00AM,67.65
24510280102,24510010100,1,39.3411885,-76.7000831,39.2786343,-76.5745793,11/01/2022,08:00AM,58.95
24510280301,24510010100,3,39.3106632,-76.7022121,39.2786343,-76.5745793,11/01/2022,08:00AM,79.21666666666667
24510280302,24510010100,1,39.3179241,-76.6935132,39.2786343,-76.5745793,11/01/2022,08:00AM,73.56666666666666
24510280401,24510010100,1,39.2970477,-76.7022192,39.2786343,-76.5745793,11/01/2022,08:00AM,59.65
24510280402,24510010100,2,39.2992263,-76.6903724,39.2786343,-76.5745793,11/01/2022,08:00AM,62.53333333333333
24510280403,24510010100,1,39.2859905,-76.7033384,39.2786343,-76.5745793,11/01/2022,08:00AM,66.98333333333333
24510280600,24510010100,1,39.2916116,-76.6329627,39.2786343,-76.5745793,11/01/2022,08:00AM,36.416666666666664
24510010100,24510010300,5,39.2786343,-76.5745793,39.288365,-76.5802265,11/01/2022,08:00AM,21.0
24510010200,24510010300,4,39.2880851,-76.5740101,39.288365,-76.5802265,11/01/2022,08:00AM,11.283333333333333
24510010300,24510010300,8,39.288365,-76.5802265,39.288365,-76.5802265,11/01/2022,08:00AM,0
24510010500,24510010300,4,39.2888746,-76.5858889,39.288365,-76.5802265,11/01/2022,08:00AM,9.683333333333334
24510020300,24510010300,1,39.280861,-76.5940789,39.288365,-76.5802265,11/01/2022,08:00AM,16.55
24510060100,24510010300,1,39.2946533,-76.5751514,39.288365,-76.5802265,11/01/2022,08:00AM,13.966666666666667
24510060200,24510010300,2,39.2944298,-76.5806137,39.288365,-76.5802265,11/01/2022,08:00AM,9.866666666666667
24510070200,24510010300,1,39.2996608,-76.5810142,39.288365,-76.5802265,11/01/2022,08:00AM,17.416666666666668
24510070300,24510010300,1,39.2994991,-76.5859396,39.288365,-76.5802265,11/01/2022,08:00AM,16.6
24510080101,24510010300,1,39.322849,-76.579024,39.288365,-76.5802265,11/01/2022,08:00AM,38.81666666666667
24510080102,24510010300,1,39.3170456,-76.575892,39.288365,-76.5802265,11/01/2022,08:00AM,30.45
24510080600,24510010300,1,39.3104188,-76.5934776,39.288365,-76.5802265,11/01/2022,08:00AM,23.133333333333333
24510090800,24510010300,1,39.3155244,-76.603691,39.288365,-76.5802265,11/01/2022,08:00AM,30.733333333333334
24510090900,24510010300,2,39.3084221,-76.6035994,39.288365,-76.5802265,11/01/2022,08:00AM,29.766666666666666
24510120202,24510010300,1,39.3286922,-76.6194426,39.288365,-76.5802265,11/01/2022,08:00AM,45.4
24510120500,24510010300,2,39.3085848,-76.6140036,39.288365,-76.5802265,11/01/2022,08:00AM,32.93333333333333
24510130100,24510010300,2,39.3152603,-76.6342242,39.288365,-76.5802265,11/01/2022,08:00AM,44.083333333333336
24510151300,24510010300,1,39.3378526,-76.6661876,39.288365,-76.5802265,11/01/2022,08:00AM,48.96666666666667
24510170200,24510010300,1,39.3011752,-76.6257103,39.288365,-76.5802265,11/01/2022,08:00AM,30.716666666666665
24510200300,24510010300,1,39.2839924,-76.6481864,39.288365,-76.5802265,11/01/2022,08:00AM,36.63333333333333
24510230100,24510010300,5,39.2758115,-76.6170686,39.288365,-76.5802265,11/01/2022,08:00AM,26.166666666666668
24510230200,24510010300,1,39.2740126,-76.6134847,39.288365,-76.5802265,11/01/2022,08:00AM,24.233333333333334
24510240300,24510010300,1,39.2758588,-76.6105163,39.288365,-76.5802265,11/01/2022,08:00AM,28.05
24510240400,24510010300,2,39.2647359,-76.5991303,39.288365,-76.5802265,11/01/2022,08:00AM,40.25
24510250101,24510010300,1,39.2771141,-76.7003721,39.288365,-76.5802265,11/01/2022,08:00AM,59.416666666666664
24510250103,24510010300,1,39.2687004,-76.6776588,39.288365,-76.5802265,11/01/2022,08:00AM,46.43333333333333
24510260302,24510010300,2,39.3170679,-76.5644287,39.288365,-76.5802265,11/01/2022,08:00AM,35.31666666666667
24510260401,24510010300,2,39.3062321,-76.5527959,39.288365,-76.5802265,11/01/2022,08:00AM,35.03333333333333
24510260501,24510010300,2,39.288347,-76.5423935,39.288365,-76.5802265,11/01/2022,08:00AM,27.8
24510260700,24510010300,2,39.2862814,-76.5586427,39.288365,-76.5802265,11/01/2022,08:00AM,21.0
24510260800,24510010300,1,39.2901606,-76.5659569,39.288365,-76.5802265,11/01/2022,08:00AM,18.916666666666668
24510260900,24510010300,2,39.2832964,-76.5656399,39.288365,-76.5802265,11/01/2022,08:00AM,12.583333333333334
24510270401,24510010300,1,39.3462013,-76.5467855,39.288365,-76.5802265,11/01/2022,08:00AM,46.333333333333336
24510270502,24510010300,1,39.3570603,-76.5441945,39.288365,-76.5802265,11/01/2022,08:00AM,59.916666666666664
24510270600,24510010300,2,39.3583436,-76.5660281,39.288365,-76.5802265,11/01/2022,08:00AM,53.983333333333334
24510270702,24510010300,1,39.3643635,-76.562741,39.288365,-76.5802265,11/01/2022,08:00AM,58.35
24510271101,24510010300,1,39.3498089,-76.616306,39.288365,-76.5802265,11/01/2022,08:00AM,52.31666666666667
24510272004,24510010300,1,39.368612,-76.6890444,39.288365,-76.5802265,11/01/2022,08:00AM,73.61666666666666
