h_geocode,w_geocode,job_totals
24510010500,24510240400,4
24510010500,24510250103,4
24510010500,24510250203,1
24510010500,24510250205,1
24510010500,24510250401,1
24510010500,24510260201,1
24510010500,24510260302,1
24510010500,24510260303,1
24510010500,24510260501,17
24510010500,24510260605,14
24510010500,24510260800,2
24510010500,24510260900,11
24510010500,24510261000,2
24510010500,24510270402,1
24510010500,24510270701,2
24510010500,24510270703,1
24510010500,24510270802,1
24510010500,24510270902,1
24510010500,24510271102,4
24510010500,24510271200,2
24510010500,24510271300,2
24510010500,24510271501,4
24510010500,24510271503,5
24510010500,24510271600,1
24510010500,24510271700,3
24510010500,24510280101,1
24510010500,24510280102,7
24510010500,24510280403,3
24510010500,24510280500,2
24510020100,24510010100,7
24510020100,24510010400,7
24510020100,24510010500,2
24510020100,24510020100,11
24510020100,24510020200,1
24510020100,24510020300,27
24510020100,24510030100,2
24510020100,24510030200,19
24510020100,24510040100,76
24510020100,24510040200,10
24510020100,24510060200,2
24510020100,24510060300,1
24510020100,24510060400,53
24510020100,24510070400,62
24510020100,24510080200,1
24510020100,24510080500,1
24510020100,24510080700,1
24510020100,24510090100,1
24510020100,24510090200,1
24510020100,24510090500,1
24510020100,24510090800,3
24510020100,24510100300,1
24510020100,24510110100,9
24510020100,24510110200,18
24510020100,24510120100,1
24510020100,24510120202,28
24510020100,24510120600,3
24510020100,24510120700,5
24510020100,24510130600,10
24510020100,24510130700,6
24510020100,24510130804,1
24510020100,24510130806,6
24510020100,24510140100,1
24510020100,24510150100,2
24510020100,24510150701,1
24510020100,24510160300,1
24510020100,24510170100,1
24510020100,24510170200,9
24510020100,24510200200,1
24510020100,24510200701,1
24510020100,24510210100,8
24510020100,24510210200,3
24510020100,24510220100,16
24510020100,24510230300,5
24510020100,24510240100,8
24510020100,24510240200,3
24510020100,24510250103,6
24510020100,24510250203,2
24510020100,24510250205,2
24510020100,24510250206,4
24510020100,24510250303,1
24510020100,24510250600,2
24510020100,24510260201,1
24510020100,24510260203,1
24510020100,24510260402,1
24510020100,24510260404,2
24510020100,24510260501,12
24510020100,24510260605,12
24510020100,24510260900,10
24510020100,24510261000,1
24510020100,24510261100,2
24510020100,24510270200,3
24510020100,24510270701,2
24510020100,24510270803,4
24510020100,24510270805,3
24510020100,24510271002,1
24510020100,24510271300,1
24510020100,24510271501,5
24510020100,24510271503,5
24510020100,24510271700,4
24510020100,24510272005,1
24510020100,24510272007,1
24510020100,24510280101,2
24510020100,24510280102,2
24510020100,24510280500,4
24510020200,24510010100,3
24510020200,24510010200,2
24510020200,24510010400,5
24510020200,24510010500,1
24510020200,24510020100,1
24510020200,24510020200,14
24510020200,24510020300,39
24510020200,24510030200,22
24510020200,24510040100,66
24510020200,24510040200,18
24510020200,24510060200,2
24510020200,24510060400,26
24510020200,24510070400,48
24510020200,24510090200,2
24510020200,24510090500,5
24510020200,24510090900,1
24510020200,24510100100,1
24510020200,24510110100,3
