GoeID_Origin,GeoID_Destination,TransitTime (minutes),DriveDistance (miles),DriveTime (minutes),EclDistance(miles)
14000US24510270200,14000US24510250500,294.1690218,14.70845109,41.32159331,7.680136657
14000US24510250402,14000US24510271503,293.8136446,14.69068223,40.78070812,9.319456171
14000US24510250401,14000US24510270600,293.6737779,14.68368889,40.42153595,8.524503463
14000US24510271101,14000US24510250500,293.4643247,14.67321624,41.61495588,8.244150154
14000US24510280102,14000US24510250500,293.3093965,14.66546983,39.56806607,9.619845181
14000US24510250401,14000US24510280101,293.0394837,14.65197418,40.85866552,9.604886832
14000US24510250402,14000US24510270901,292.9557592,14.64778796,41.18967082,8.258629249
14000US24510272006,14000US24510250401,292.7244137,14.63622068,38.75663838,9.638987648
14000US24510250402,14000US24510271900,292.6024261,14.63012131,39.02146035,9.52462602
14000US24510250500,14000US24510130805,292.5111796,14.62555898,41.32384687,8.796034557
14000US24510250500,14000US24510271002,292.3967999,14.61983999,39.75428587,8.250177636
14000US24510250500,14000US24510271700,292.2326493,14.61163246,38.28261625,9.385971097
14000US24510250402,14000US24510270302,292.2119458,14.61059729,40.12008624,8.188666534
14000US24510250402,14000US24510271200,292.0490045,14.60245023,39.95745037,9.192971141
14000US24510250402,14000US24510260402,291.6167824,14.58083912,40.56961062,6.619783029
14000US24510250401,14000US24510270402,291.2356073,14.56178037,39.69425826,8.212670733
14000US24510280101,14000US24510250401,290.8190401,14.54095201,38.6248096,9.604886832
14000US24510250402,14000US24510270101,290.6884837,14.53442419,40.23495211,7.491332201
14000US24510271700,14000US24510250500,290.5642305,14.52821153,38.03749927,9.385971097
14000US24510250401,14000US24510270803,290.4922409,14.52461204,41.23497323,8.751488232
14000US24510250402,14000US24510260203,290.1509843,14.50754921,40.26331362,7.05583948
14000US24510250500,14000US24510270200,289.8158888,14.49079444,39.24070046,7.680136657
14000US24510130806,14000US24510250500,289.7685828,14.48842914,40.21865341,7.940484826
14000US24510270802,14000US24510250401,289.1699902,14.45849951,39.50059991,8.522733219
14000US24510250500,14000US24510271101,288.7732705,14.43866352,39.10205057,8.244150154
14000US24510260201,14000US24510250500,288.1894584,14.40947292,39.73566987,6.930544133
14000US24510270102,14000US24510250401,288.1611943,14.40805972,40.88109744,7.364772767
14000US24510250402,14000US24510270902,288.0568219,14.40284109,39.77458947,8.344666776
14000US24510250500,14000US24510271802,287.2000945,14.36000473,40.36227502,9.132938995
14000US24510250500,14000US24510260201,286.7058048,14.33529024,38.57582282,6.930544133
14000US24510090100,14000US24510250500,286.0085991,14.30042996,39.71261166,7.318717738
14000US24510270301,14000US24510250401,285.8009336,14.29004668,40.31870148,7.88601553
14000US24510250402,14000US24510271002,285.5399804,14.27699902,39.53881999,8.287726887
14000US24510250402,14000US24510271700,285.3758298,14.26879149,38.06715038,9.158264352
14000US24510271802,14000US24510250500,285.3384505,14.26692252,37.76494768,9.132938995
14000US24510130805,14000US24510250500,284.7873662,14.23936831,37.53782913,8.796034557
14000US24510250401,14000US24510270102,283.7390677,14.18695339,38.79117269,7.364772767
14000US24510250401,14000US24510270805,283.6727922,14.18363961,38.72900664,8.450441952
14000US24510271200,14000US24510250401,283.5922638,14.17961319,39.0262146,8.687821014
14000US24510250401,14000US24510260403,283.008785,14.15043925,40.27297965,6.15523143
14000US24510250402,14000US24510270200,282.9590693,14.14795347,39.02523459,7.843418289
14000US24510270903,14000US24510250500,282.9194303,14.14597151,38.68234479,7.658617317
14000US24510260501,14000US24510250500,282.4279963,14.12139981,39.61636238,4.651272799
14000US24510270302,14000US24510250401,282.3520637,14.11760318,39.65821207,7.802410438
14000US24510250500,14000US24510260202,282.2135499,14.1106775,39.51617952,6.667893788
14000US24510271001,14000US24510250500,282.0510217,14.10255108,38.96571342,7.698229779
14000US24510250402,14000US24510271101,281.916451,14.09582255,38.88658469,8.23063975
14000US24510260303,14000US24510250500,281.7669421,14.0883471,39.15680436,5.716806283
14000US24510270401,14000US24510250401,281.5974333,14.07987166,38.87271386,7.63762327
14000US24510250401,14000US24510270301,281.378807,14.06894035,38.22877674,7.88601553
14000US24510250500,14000US24510260605,281.2183763,14.06091882,39.02410457,2.940124049
14000US24510270101,14000US24510250401,280.852371,14.04261855,39.75594792,7.104530651
14000US24510260605,14000US24510250500,280.3794232,14.01897116,39.23375463,2.940124049
14000US24510250401,14000US24510270401,280.1035954,14.00517977,37.71153359,7.63762327
14000US24510250500,14000US24510260303,279.8655653,13.99327826,37.92176713,5.716806283
14000US24510250402,14000US24510260201,279.8489853,13.99244927,38.36035695,7.185950216
14000US24510250401,14000US24510271503,279.5316359,13.97658179,38.22890921,8.78139152
14000US24510090300,14000US24510250500,279.2046797,13.96023399,39.76582755,6.929038649
14000US24510260604,14000US24510250500,279.1553277,13.95776638,39.07350939,4.11276642
14000US24510250401,14000US24510270901,278.6737505,13.93368752,38.6378719,7.792989958
14000US24510250500,14000US24510271001,278.4113871,13.92056936,38.66403352,7.698229779
14000US24510250401,14000US24510271900,278.3204174,13.91602087,36.46966143,8.968565843
14000US24510250401,14000US24510271801,278.0510038,13.90255019,39.57115446,8.851128862
14000US24510270902,14000US24510250401,277.9626372,13.89813186,39.26736281,7.905315774
14000US24510250401,14000US24510270302,277.929937,13.89649685,37.56828733,7.802410438
14000US24510130803,14000US24510250500,277.9136814,13.89568407,38.15606889,8.24142145
14000US24510260203,14000US24510250401,277.8993157,13.89496578,38.94292799,6.763634595
14000US24510250401,14000US24510271200,277.7669957,13.88834979,37.40565146,8.687821014
14000US24510250401,14000US24510260402,277.3347736,13.86673868,38.01781171,6.342422987
14000US24510271900,14000US24510250401,276.7376242,13.83688121,36.2274708,8.968565843
14000US24510250500,14000US24510130803,276.6984462,13.83492231,37.92670043,8.24142145
14000US24510250401,14000US24510270101,276.4064749,13.82032375,37.68315319,7.104530651
14000US24510250401,14000US24510260203,275.8689755,13.79344877,37.7115147,6.763634595
14000US24510090200,14000US24510250500,275.4042,13.77021,38.60736818,7.088996952
14000US24510260301,14000US24510250500,275.3822291,13.76911146,38.69871277,6.364394965
14000US24510250402,14000US24510260202,275.3567304,13.76783652,39.30071365,6.923184336
14000US24510250500,14000US24510271600,274.9211763,13.74605881,36.01638706,8.896750224
14000US24510260302,14000US24510250500,274.3817491,13.71908745,37.9281152,5.978347514
14000US24510250402,14000US24510260605,274.3615569,13.71807784,38.8086387,3.455064602
14000US24510250500,14000US24510260301,274.0001801,13.700009,37.54497076,6.364394965
14000US24510250401,14000US24510270902,273.7748131,13.68874065,37.22279055,7.905315774
14000US24510080101,14000US24510250500,273.3165376,13.66582688,37.82004728,6.439912889
14000US24510250500,14000US24510260302,273.2701644,13.66350822,36.81697536,5.978347514
14000US24510271600,14000US24510250500,273.2527575,13.66263788,35.77127008,8.896750224
14000US24510271801,14000US24510250401,273.1942832,13.65971416,36.10000933,8.851128862
14000US24510270200,14000US24510250401,273.0403779,13.65201889,38.55566175,7.428690358
14000US24510250402,14000US24510260303,273.0087458,13.65043729,37.70630126,6.008239055
14000US24510250500,14000US24510260501,272.9834199,13.64917099,37.93046744,4.651272799
14000US24510271101,14000US24510250401,272.3356808,13.61678404,38.84902431,7.731633097
14000US24510090700,14000US24510250500,272.2028045,13.61014023,38.47738334,6.159720904
14000US24510280102,14000US24510250401,272.1807526,13.60903763,36.8021345,8.716492939
14000US24510250402,14000US24510271001,271.5545677,13.57772838,38.44856764,7.735821709
14000US24510250401,14000US24510130805,271.3723513,13.56861757,38.55658208,8.066863945
14000US24510250401,14000US24510271002,271.2579716,13.56289858,36.98702108,7.809129886
14000US24510250500,14000US24510090200,271.1179501,13.55589751,36.53523094,7.088996952
14000US24510250401,14000US24510271700,271.093821,13.55469105,35.51535146,8.605128372
14000US24510250500,14000US24510080101,270.7762421,13.53881211,37.38567864,6.439912889
14000US24510250402,14000US24510130803,269.8416267,13.49208133,37.71123456,8.099511294
14000US24510271700,14000US24510250401,269.4355866,13.47177933,35.2715677,8.605128372
14000US24510151300,14000US24510250500,269.1307729,13.45653865,35.23166482,8.525094113
14000US24510250500,14000US24510090700,268.9133142,13.44566571,37.52907383,6.159720904
14000US24510250401,14000US24510270200,268.6770606,13.43385303,36.47343567,7.428690358
14000US24510130700,14000US24510250500,268.6621828,13.43310914,38.08909148,7.591056228
14000US24510130806,14000US24510250401,268.6399389,13.43199695,37.45272185,7.203951302
14000US24510250500,14000US24510151300,268.3800678,13.41900339,35.1333907,8.525094113
14000US24510250402,14000US24510271600,268.0643568,13.40321784,35.80092118,8.648534735
14000US24510250401,14000US24510271101,267.6344422,13.38172211,36.33478578,7.731633097
14000US24510260700,14000US24510250500,267.2559373,13.36279687,37.59178505,4.117076657
14000US24510250402,14000US24510260301,267.1433606,13.35716803,37.32950489,6.594869555
14000US24510250500,14000US24510260404,267.0839827,13.35419913,37.98212836,4.800790417
14000US24510260201,14000US24510250401,267.0608144,13.35304072,36.96973831,6.831270675
14000US24510271102,14000US24510250500,266.754523,13.33772615,36.50736799,7.740890745
14000US24510250402,14000US24510260302,266.413345,13.32066725,36.60150949,6.203214873
14000US24510250402,14000US24510260501,266.1266004,13.30633002,37.71500157,5.108355142
14000US24510250401,14000US24510271802,266.0612663,13.30306331,37.59501023,8.302098177
14000US24510250401,14000US24510260201,265.5669765,13.27834883,35.80855803,6.831270675
14000US24510280302,14000US24510250500,265.1864133,13.25932067,37.00238311,8.203893791
14000US24510090100,14000US24510250401,264.8799552,13.24399776,36.94668009,6.866989492
14000US24510280301,14000US24510250500,264.6301286,13.23150643,34.78600147,7.974179876
14000US24510250500,14000US24510280302,264.6232728,13.23116364,36.81158251,8.203893791
14000US24510280401,14000US24510250500,264.5753151,13.22876575,36.9480575,7.565631043
14000US24510250402,14000US24510090200,264.2611306,13.21305653,36.31976506,7.195937126
14000US24510271802,14000US24510250401,264.2098066,13.21049033,34.99901611,8.302098177
14000US24510250402,14000US24510080101,263.9194227,13.19597113,37.17021277,6.610177765
14000US24510090600,14000US24510250500,263.6762999,13.18381499,37.12096905,6.464858601
14000US24510130805,14000US24510250401,263.6587223,13.18293612,34.77189756,8.066863945
14000US24510130804,14000US24510250500,263.5924117,13.17962058,36.6359829,7.446042783
14000US24510250500,14000US24510271102,263.1943084,13.15971542,35.60611639,7.740890745
14000US24510250500,14000US24510280301,262.519091,13.12595455,34.90331624,7.974179876
14000US24510250500,14000US24510130804,262.4436626,13.12218313,36.54209793,7.446042783
14000US24510250402,14000US24510090700,262.0564948,13.10282474,37.31360796,6.229983345
14000US24510270903,14000US24510250401,261.7907863,13.08953932,35.91641322,7.28632361
14000US24510250402,14000US24510151300,261.5232483,13.07616242,34.91792482,8.267369476
14000US24510260501,14000US24510250401,261.2993524,13.06496762,36.85043081,4.936444668
14000US24510151100,14000US24510250500,261.1442884,13.05721442,35.06288094,8.143275742
14000US24510250401,14000US24510260202,261.0747216,13.05373608,36.74891473,6.569699773
14000US24510250500,14000US24510151100,260.9964878,13.04982439,34.90002059,8.143275742
14000US24510271001,14000US24510250401,260.9223778,13.04611889,36.19978185,7.25849655
14000US24510260303,14000US24510250401,260.6382981,13.03191491,36.39087279,5.685852076
14000US24510080102,14000US24510250500,260.3030827,13.01515413,36.63049464,6.028944417
14000US24510250401,14000US24510260605,260.0795481,13.0039774,36.25683978,3.37243314
14000US24510250500,14000US24510090600,259.39005,12.9695025,35.04883181,6.464858601
