"","ct","FIPS","SPL_THEME1","RPL_THEME1","SPL_THEME2","RPL_THEME2","SPL_THEME3","RPL_THEME3","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_THEME1","F_THEME2","F_THEME3","F_THEME4","SummarySVIcat"
"161","24510272007",24510272007,1.8293,0.4518,2.403,0.665,1.201,0.7236,2.4503,0.7259,7.8836,0.6041,1,1,0,0,3
"162","24510130400",24510130400,2.8668,0.7259,1.9271,0.3655,1.3618,0.8342,2.5496,0.7665,8.7053,0.7411,3,0,0,1,3
"163","24510080600",24510080600,3.0735,0.8223,2.2928,0.5939,1.1055,0.603,2.6167,0.797,9.0885,0.8223,4,1,0,1,4
"164","24510260501",24510260501,1.8155,0.4416,2.0578,0.4162,1.201,0.7236,3.1123,0.9036,8.1866,0.6599,1,0,1,0,3
"165","24510080301",24510080301,3.1797,0.8426,2.6791,0.8071,1.7136,1,1.7561,0.4162,9.3285,0.8528,4,1,1,1,4
"166","24510070200",24510070200,3.4438,0.9289,2.7881,0.8528,1.2261,0.7588,2.3609,0.6853,9.8189,0.8985,4,2,1,2,4
"167","24510271600",24510271600,3.2915,0.8934,2.6969,0.8173,0.8141,0.3719,2.7574,0.8173,9.5599,0.8782,4,1,1,2,4
"168","24510200800",24510200800,2.3947,0.6142,2.8047,0.8579,1.1859,0.7085,2.2011,0.599,8.5864,0.7259,2,1,0,1,3
"169","24510150600",24510150600,3.4032,0.9188,2.2397,0.5279,1.1105,0.608,3.1277,0.9137,9.8811,0.9036,3,0,1,1,4
"170","24510250402",24510250402,2.3699,0.6041,1.71771,0.3046,1.1759,0.6985,2.9397,0.8426,8.20321,0.665,2,0,0,1,3
"171","24510150400",24510150400,2.89464,0.7462,2.1509,0.4924,1.4472,0.8995,3.023,0.8782,9.51574,0.868,3,0,1,2,4
"172","24510271001",24510271001,2.4603,0.6294,2.5867,0.7665,1.2161,0.7487,2.569,0.7766,8.8321,0.7716,2,1,1,1,4
"173","24510150100",24510150100,3.5804,0.9594,2.9019,0.9086,1.4221,0.8844,2.2611,0.6345,10.1655,0.934,4,1,1,1,4
"174","24510271801",24510271801,2.8567,0.7208,2.2572,0.5533,1.4221,0.8844,2.6191,0.802,9.1551,0.8426,2,1,1,1,4
"175","24510200701",24510200701,3.0028,0.7868,2.9968,0.9442,1.3216,0.809,2.2294,0.6091,9.5506,0.8731,4,2,1,1,4
"176","24510170200",24510170200,3.594649,0.9645,3.3945,1,1.1407,0.6382,2.2511,0.6244,10.380949,0.9492,4,3,0,2,4
"177","24510151200",24510151200,3.31649,0.9036,2.7531,0.8477,0.9699,0.5276,2.9746,0.8579,10.01409,0.9137,4,1,0,1,4
"178","24510280404",24510280404,2.4201,0.6193,2.6408,0.7868,1.0704,0.5729,2.9615,0.8477,9.0928,0.8325,2,1,1,2,4
"179","24510271700",24510271700,2.608,0.665,2.3296,0.6091,1.1156,0.6231,3.3674,0.9695,9.4206,0.8629,1,2,0,2,4
"180","24510100100",24510100100,3.00699,0.7919,2.6806,0.8122,1.3216,0.809,3.0345,0.8832,10.04369,0.9188,2,1,1,1,4
"181","24510070400",24510070400,3.2405,0.868,2.4145,0.6853,0.6332,0.2462,3.4515,0.9848,9.7397,0.8883,4,1,0,2,4
"182","24510260402",24510260402,2.3592,0.599,2.1343,0.4873,1.4975,0.9246,3.0748,0.8934,9.0658,0.8122,2,1,1,1,4
"183","24510070300",24510070300,3.0233,0.797,2.2878,0.5888,1.6432,0.9749,2.6665,0.8071,9.6208,0.8832,3,1,1,1,4
"184","24510160200",24510160200,3.18,0.8477,3.2112,0.9898,1.5326,0.9447,2.4159,0.7107,10.3397,0.9442,4,3,1,1,4
"185","24510260605",24510260605,2.9512,0.7614,2.4057,0.6701,1.1709,0.6884,2.5929,0.7868,9.1207,0.8376,4,1,0,2,4
"186","24510090400",24510090400,3.07234,0.8173,2.5949,0.7766,1.412,0.8744,2.9268,0.8376,10.00604,0.9086,3,2,0,1,4
"187","24510200300",24510200300,3.82784,0.9949,2.9854,0.934,1.1659,0.6784,2.5566,0.7716,10.53574,0.9543,4,3,0,1,4
"188","24510180100",24510180100,3.8582,1,3.1266,0.9797,0.9548,0.4874,3.2452,0.934,11.1848,0.9898,4,3,1,1,4
