"","ct","GEOID","kde_bike_f","kde_ped_av","kde_crime_","ptile_kde_bike_f","ptile_kde_ped_av","ptile_kde_crime_","safety_ptile","ptile_THEME1","ptile_THEME2","ptile_THEME3","ptile_THEME4","svi_ptile","avgcommute_min","ptile_commute","PT_longer_comm_min","ptile_diffcomm_PToCar","No.of.Stops","ptile_stopcnt","NEAR_DIST","ptile_HFRdist","avg_min_acs","PT_pct","PTover45m_pct","ptile_avg_min_acs","ptile_PT_pct","ptile_PTover45m_pct","OBJECTID","PM25","OZONE","DSLPM","RESP","PTRAF","ptile_PM25","ptile_OZONE","ptile_DSLPM","ptile_RESP","ptile_PTRAF","poll_ptile","asthmavalue","ptile_asthma","COPDvalue","ptile_COPD","lungCAvalue","ptile_lungCA","COVIDvalue","ptile_COVID","CADvalue","ptile_CAD","LBWvalue","ptile_LBW","health_ptile","health_ptile_v2","transit_ptile","composite_TVS_ptile","composite_TV_ptile","composite_TVP_ptile","composite_TVPH_ptile","composite_TVH_ptile","composite_TVH2_ptile","composite_TVPH2_ptile"
"343","24510210200","245102102001",1.49,13.36,3546.29,0.234662576687117,0.529141104294479,0.559815950920245,0.44478527607362,0.6345,0.467,0.7789,0.4365,0.5584,25.34,0.375634517766497,56.51,0.256281407035176,29,0.0452261306532663,0,0,29.28,28.32,42.43,0.570175438596491,0.715736040609137,0.285714285714286,90407,8.709563836,45.31697647,0.968991698,0.49912426,588.8434949,0.69478527607362,0.654907975460123,0.696319018404908,0.538343558282209,0.299079754601227,0.618098159509202,0.115,0.429292929292929,0.086,0.646464646464647,16,0.678391959798995,77.37,0.558375634517767,0.658,0.842639593908629,0.794,0.548223350253807,0.736040609137056,0.741116751269036,0.112480739599384,0.268104776579353,0.240369799691834,0.342064714946071,0.440677966101695,0.395993836671803,0.38366718027735,0.449922958397535
"344","24510210200","245102102002",19.59,32.14,6245.41,0.926380368098159,0.848159509202454,0.832822085889571,0.891104294478528,0.6345,0.467,0.7789,0.4365,0.5584,25.34,0.375634517766497,56.51,0.256281407035176,29,0.0452261306532663,0,0,29.28,28.32,42.43,0.570175438596491,0.715736040609137,0.285714285714286,90408,8.709563836,45.31697647,0.968991698,0.49912426,1502.822245,0.69478527607362,0.654907975460123,0.696319018404908,0.538343558282209,0.677914110429448,0.708588957055215,0.115,0.429292929292929,0.086,0.646464646464647,16,0.678391959798995,77.37,0.558375634517767,0.658,0.842639593908629,0.794,0.548223350253807,0.736040609137056,0.741116751269036,0.112480739599384,0.536209553158706,0.240369799691834,0.397534668721109,0.479198767334361,0.395993836671803,0.38366718027735,0.4884437596302
"345","24510220100","245102201001",16.71,47.88,2299.25,0.884969325153374,0.943251533742331,0.403374233128834,0.765337423312883,0.09645,0.1777,0.1407,0.4873,0.1523,18,0.182741116751269,31.67,0.0150753768844221,28,0.050251256281407,0,0,26.32,7.72,57.71,0.280701754385965,0.16751269035533,0.571428571428571,90409,8.714801096,45.37702353,1.030005389,0.517579347,8043.808816,0.760736196319018,0.74079754601227,0.780674846625767,0.726993865030675,0.993865030674847,0.875766871165644,0.088,0.121212121212121,0.048,0.156565656565657,14,0.597989949748744,132.2,0.893401015228426,0.775,0.934010152284264,0.1,0.065989847715736,0.431472081218274,0.284263959390863,0.0184899845916795,0.169491525423729,0.0600924499229584,0.186440677966102,0.238828967642527,0.100154083204931,0.0785824345146379,0.212634822804314
"346","24510220100","245102201002",31.49,53.82,3988.64,0.975460122699387,0.952453987730061,0.621165644171779,0.868098159509202,0.09645,0.1777,0.1407,0.4873,0.1523,18,0.182741116751269,31.67,0.0150753768844221,28,0.050251256281407,0,0,26.32,7.72,57.71,0.280701754385965,0.16751269035533,0.571428571428571,90410,8.714801096,45.37702353,1.030005389,0.517579347,6022.238291,0.760736196319018,0.74079754601227,0.780674846625767,0.726993865030675,0.98159509202454,0.871165644171779,0.088,0.121212121212121,0.048,0.156565656565657,14,0.597989949748744,132.2,0.893401015228426,0.775,0.934010152284264,0.1,0.065989847715736,0.431472081218274,0.284263959390863,0.0184899845916795,0.226502311248074,0.0600924499229584,0.184899845916795,0.234206471494607,0.100154083204931,0.0785824345146379,0.209553158705701
"347","24510220100","245102201003",27.97,48.74,348.49,0.966257668711656,0.94478527607362,0.0628834355828221,0.679447852760736,0.09645,0.1777,0.1407,0.4873,0.1523,18,0.182741116751269,31.67,0.0150753768844221,28,0.050251256281407,0,0,26.32,7.72,57.71,0.280701754385965,0.16751269035533,0.571428571428571,90411,8.714801096,45.37702353,1.030005389,0.517579347,1793.625486,0.760736196319018,0.74079754601227,0.780674846625767,0.726993865030675,0.769938650306748,0.826687116564417,0.088,0.121212121212121,0.048,0.156565656565657,14,0.597989949748744,132.2,0.893401015228426,0.775,0.934010152284264,0.1,0.065989847715736,0.431472081218274,0.284263959390863,0.0184899845916795,0.129429892141757,0.0600924499229584,0.161787365177196,0.217257318952234,0.100154083204931,0.0785824345146379,0.184899845916795
"348","24510220100","245102201004",13.89,26.01,3569.68,0.852760736196319,0.763803680981595,0.56441717791411,0.745398773006135,0.09645,0.1777,0.1407,0.4873,0.1523,18,0.182741116751269,31.67,0.0150753768844221,28,0.050251256281407,0,0,26.32,7.72,57.71,0.280701754385965,0.16751269035533,0.571428571428571,90412,8.714801096,45.37702353,1.030005389,0.517579347,3424.99111,0.760736196319018,0.74079754601227,0.780674846625767,0.726993865030675,0.923312883435583,0.858895705521472,0.088,0.121212121212121,0.048,0.156565656565657,14,0.597989949748744,132.2,0.893401015228426,0.775,0.934010152284264,0.1,0.065989847715736,0.431472081218274,0.284263959390863,0.0184899845916795,0.154083204930663,0.0600924499229584,0.172573189522342,0.226502311248074,0.100154083204931,0.0785824345146379,0.204930662557781
"349","24510230100","245102301001",3.75,17.69,2558.27,0.446319018404908,0.633435582822086,0.429447852760736,0.506134969325153,0.1675,0.1117,0.03015,0.4467,0.09137,15.12,0.111675126903553,44.91,0.085427135678392,3,0.959798994974874,0,0,24.39,6.6,70.27,0.192982456140351,0.137055837563452,0.795918367346939,90413,8.725638356,45.42116405,1.014680382,0.518724754,3060.023288,0.874233128834356,0.79601226993865,0.756134969325153,0.745398773006135,0.907975460122699,0.895705521472393,0.096,0.191919191919192,0.039,0.111111111111111,1,0.0100502512562814,70.22,0.49746192893401,0.414,0.446700507614213,0.904,0.796954314720812,0.192893401015228,0.17258883248731,0.187981510015408,0.098613251155624,0.098613251155624,0.274268104776579,0.197226502311248,0.0816640986132511,0.0755007704160247,0.218798151001541
"350","24510230100","245102301002",7.14,22.53,6281.65,0.631901840490798,0.719325153374233,0.838957055214724,0.753067484662577,0.1675,0.1117,0.03015,0.4467,0.09137,15.12,0.111675126903553,44.91,0.085427135678392,3,0.959798994974874,0,0,24.39,6.6,70.27,0.192982456140351,0.137055837563452,0.795918367346939,90414,8.725638356,45.42116405,1.014680382,0.518724754,4607.373069,0.874233128834356,0.79601226993865,0.756134969325153,0.745398773006135,0.957055214723926,0.900306748466258,0.096,0.191919191919192,0.039,0.111111111111111,1,0.0100502512562814,70.22,0.49746192893401,0.414,0.446700507614213,0.904,0.796954314720812,0.192893401015228,0.17258883248731,0.187981510015408,0.215716486902928,0.098613251155624,0.281972265023112,0.200308166409861,0.0816640986132511,0.0755007704160247,0.220338983050847
"351","24510230200","245102302001",7.65,20.88,8548.09,0.654907975460123,0.693251533742331,0.934049079754601,0.785276073619632,0.1371,0.07107,0.407,0.1624,0.06599,19.41,0.213197969543147,50.78,0.180904522613065,10,0.557788944723618,0,0,24.29,13.15,7.89,0.166666666666667,0.319796954314721,0,90415,8.730593699,45.44028758,1.025917803,0.509270606,1652.398035,0.918711656441718,0.826687116564417,0.774539877300613,0.634969325153374,0.725460122699387,0.848159509202454,0.085,0.0858585858585859,0.029,0.0303030303030303,1,0.0100502512562814,57.18,0.355329949238579,0.43,0.512690355329949,0.489,0.299492385786802,0.0609137055837563,0.0456852791878173,0.0462249614791988,0.140215716486903,0.0338983050847458,0.146379044684129,0.0600924499229584,0.0169491525423729,0.0169491525423729,0.0647149460708783
"352","24510230200","245102302002",4.31,11.62,3921.25,0.480061349693252,0.492331288343558,0.610429447852761,0.529141104294479,0.1371,0.07107,0.407,0.1624,0.06599,19.41,0.213197969543147,50.78,0.180904522613065,10,0.557788944723618,0,0,24.29,13.15,7.89,0.166666666666667,0.319796954314721,0,90416,8.730593699,45.44028758,1.025917803,0.509270606,2135.554961,0.918711656441718,0.826687116564417,0.774539877300613,0.634969325153374,0.842024539877301,0.874233128834356,0.085,0.0858585858585859,0.029,0.0303030303030303,1,0.0100502512562814,57.18,0.355329949238579,0.43,0.512690355329949,0.489,0.299492385786802,0.0609137055837563,0.0456852791878173,0.0462249614791988,0.0693374422187981,0.0338983050847458,0.157164869029276,0.0755007704160247,0.0169491525423729,0.0169491525423729,0.0693374422187981
