USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24003731210	4113708	124869	1.588	0.048	39.1138104	-76.5366071                                                                                                                                        
MD	24003731303	18296910	19467650	7.064	7.517	39.0992681	-76.4535079                                                                                                                                     
MD	24003731306	16004746	9011182	6.179	3.479	39.144659	-76.4656159                                                                                                                                       
MD	24003731307	6270103	25298	2.421	0.01	39.1270648	-76.5071026                                                                                                                                          
MD	24003731308	1634461	1215507	0.631	0.469	39.1650148	-76.5098833                                                                                                                                       
MD	24003731309	2647159	611223	1.022	0.236	39.1516841	-76.5196043                                                                                                                                        
MD	24003731310	2237486	401032	0.864	0.155	39.1448788	-76.5344405                                                                                                                                        
MD	24003731312	1727906	61882	0.667	0.024	39.1357913	-76.5436027                                                                                                                                         
MD	24003731313	2071483	106534	0.8	0.041	39.1361759	-76.5592936                                                                                                                                          
MD	24003740103	6104739	0	2.357	0.	39.1451374	-76.7129445                                                                                                                                                
MD	24003740104	4209773	0	1.625	0.	39.129525	-76.715048                                                                                                                                                  
MD	24003740105	1733285	0	0.669	0.	39.119983	-76.7014493                                                                                                                                                 
MD	24003740106	11972588	0	4.623	0.	39.148391	-76.7621355                                                                                                                                                
MD	24003740107	3031915	0	1.171	0.	39.1587777	-76.7305153                                                                                                                                                
MD	24003740108	4358516	0	1.683	0.	39.1441698	-76.7398165                                                                                                                                                
MD	24003740203	9296447	0	3.589	0.	39.1210437	-76.6670415                                                                                                                                                
MD	24003740204	3303290	0	1.275	0.	39.1421509	-76.6497823                                                                                                                                                
MD	24003740205	2016465	0	0.779	0.	39.1424176	-76.6397409                                                                                                                                                
MD	24003740303	4598685	0	1.776	0.	39.1182004	-76.6908605                                                                                                                                                
MD	24003740304	6461136	0	2.495	0.	39.0898801	-76.6930797                                                                                                                                                
MD	24003740305	3432304	0	1.325	0.	39.1063011	-76.7124403                                                                                                                                                
MD	24003740400	1830536	0	0.707	0.	39.1356891	-76.7765632                                                                                                                                                
MD	24003740501	3595145	0	1.388	0.	39.104748	-76.8168921                                                                                                                                                 
MD	24003740502	6134908	0	2.369	0.	39.1141421	-76.8015595                                                                                                                                                
MD	24003740601	5286729	0	2.041	0.	39.122717	-76.7570794                                                                                                                                                 
MD	24003740602	4241557	0	1.638	0.	39.1185801	-76.7350879                                                                                                                                                
MD	24003740603	47672576	124285	18.406	0.048	39.065069	-76.7566355                                                                                                                                       
MD	24003740701	2802172	0	1.082	0.	39.0696139	-76.7150188                                                                                                                                                
MD	24003740703	2373221	0	0.916	0.	39.0560258	-76.7033716                                                                                                                                                
MD	24003740704	25835091	30254	9.975	0.012	39.0333668	-76.7189496                                                                                                                                        
MD	24003740800	20233325	25677	7.812	0.01	39.0673318	-76.663831                                                                                                                                          
MD	24003740900	5365390	0	2.072	0.	39.0719725	-76.693703                                                                                                                                                 
MD	24003741000	15957925	0	6.161	0.	39.0962163	-76.6543558                                                                                                                                               
MD	24003750101	1408463	0	0.544	0.	39.2242942	-76.6079995                                                                                                                                                
MD	24003750102	778317	13704	0.301	0.005	39.2313057	-76.6189363                                                                                                                                          
MD	24003750201	3287937	136642	1.269	0.053	39.2149366	-76.6338246                                                                                                                                        
MD	24003750204	5513806	4445	2.129	0.002	39.2154046	-76.6054141                                                                                                                                          
MD	24003750300	2940758	111041	1.135	0.043	39.2212465	-76.6510054                                                                                                                                        
MD	24003750400	3216388	0	1.242	0.	39.2050248	-76.649372                                                                                                                                                 
MD	24003750801	5054080	0	1.951	0.	39.1838052	-76.6424084                                                                                                                                                
MD	24003750803	2271987	0	0.877	0.	39.1972717	-76.6244171                                                                                                                                                
MD	24003750804	3134528	21763	1.21	0.008	39.1815368	-76.622678                                                                                                                                           
MD	24003750900	2910021	0	1.124	0.	39.1668253	-76.6285625                                                                                                                                                
MD	24003751000	3215006	0	1.241	0.	39.1675862	-76.6121915                                                                                                                                                
MD	24003751102	8405793	951838	3.245	0.368	39.1925013	-76.5947761                                                                                                                                        
MD	24003751103	3014250	709588	1.164	0.274	39.1734342	-76.5928562                                                                                                                                        
MD	24003751200	25678154	95429	9.914	0.037	39.1924169	-76.6953868                                                                                                                                        
MD	24003751400	10850595	0	4.189	0.	39.1491532	-76.6739339                                                                                                                                               
MD	24003751500	12784412	0	4.936	0.	39.0920737	-76.8005806                                                                                                                                               
MD	24003751600	20048699	908201	7.741	0.351	38.9946575	-76.600476                                                                                                                                        
MD	24003751700	27736168	0	10.709	0.	39.0180009	-76.6333087                                                                                                                                              
MD	24003980000	12350868	0	4.769	0.	39.175734	-76.671584                                                                                                                                                 
MD	24003990000	0	307233625	0.	118.624	38.9489473	-76.4419058                                                                                                                                            
MD	24005400100	1874575	9219	0.724	0.004	39.2673208	-76.7073699                                                                                                                                          
MD	24005400200	922683	0	0.356	0.	39.2736815	-76.7127755                                                                                                                                                 
MD	24005400400	8966474	7438	3.462	0.003	39.2513184	-76.7293575                                                                                                                                          
MD	24005400500	5796998	0	2.238	0.	39.2543871	-76.7516836                                                                                                                                                
MD	24005400600	968870	0	0.374	0.	39.279055	-76.7183222                                                                                                                                                  
MD	24005400701	1186714	0	0.458	0.	39.2847069	-76.7267257                                                                                                                                                
MD	24005400702	702072	0	0.271	0.	39.2880154	-76.7166223                                                                                                                                                 
MD	24005400800	1472876	0	0.569	0.	39.2794434	-76.7353675                                                                                                                                                
MD	24005400900	1023192	0	0.395	0.	39.2786877	-76.7494396                                                                                                                                                
MD	24005401000	1355602	0	0.523	0.	39.2723515	-76.7444264                                                                                                                                                
MD	24005401101	2929637	0	1.131	0.	39.2981461	-76.7339812                                                                                                                                                
MD	24005401102	3464317	0	1.338	0.	39.3110803	-76.7306313                                                                                                                                                
MD	24005401200	1955197	0	0.755	0.	39.3179076	-76.7179575                                                                                                                                                
MD	24005401301	1152686	0	0.445	0.	39.2959395	-76.721918                                                                                                                                                 
MD	24005401302	596204	0	0.23	0.	39.2946041	-76.7157345                                                                                                                                                  
MD	24005401400	2789321	82236	1.077	0.032	39.2610633	-76.7725829                                                                                                                                         
MD	24005401503	6460970	103129	2.495	0.04	39.2777485	-76.7754851                                                                                                                                         
MD	24005401504	5680855	36704	2.193	0.014	39.2992831	-76.7676124                                                                                                                                         
MD	24005401505	2292136	0	0.885	0.	39.2949894	-76.7480081                                                                                                                                                
MD	24005401506	3528037	45365	1.362	0.018	39.3116085	-76.7803118                                                                                                                                         
MD	24005401507	2715583	0	1.048	0.	39.3133819	-76.7546838                                                                                                                                                
MD	24005402201	39090501	3389119	15.093	1.309	39.3801959	-76.8671733                                                                                                                                     
MD	24005402202	20636669	252189	7.968	0.097	39.3270886	-76.8184311                                                                                                                                       
MD	24005402302	2901559	0	1.12	0.	39.3529064	-76.7771634                                                                                                                                                 
MD	24005402303	2862489	3368	1.105	0.001	39.3452152	-76.754598                                                                                                                                           
MD	24005402304	1540713	0	0.595	0.	39.3410651	-76.7389938                                                                                                                                                
MD	24005402305	1610322	0	0.622	0.	39.3677873	-76.7428975                                                                                                                                                
MD	24005402306	1249027	0	0.482	0.	39.3627619	-76.768278                                                                                                                                                 
MD	24005402307	2229516	5914	0.861	0.002	39.3599183	-76.7490595                                                                                                                                          
MD	24005402403	2046390	73620	0.79	0.028	39.331835	-76.7190897                                                                                                                                           
MD	24005402404	1694696	0	0.654	0.	39.3320711	-76.7319837                                                                                                                                                
MD	24005402405	1412619	0	0.545	0.	39.3239409	-76.7369871                                                                                                                                                
MD	24005402407	6484147	4406	2.504	0.002	39.340334	-76.7697525                                                                                                                                           
MD	24005402408	1683516	15211	0.65	0.006	39.3261977	-76.7698235                                                                                                                                          
MD	24005402409	576300	0	0.223	0.	39.3310463	-76.7628832                                                                                                                                                 
MD	24005402503	4854827	12184	1.874	0.005	39.3611816	-76.8026252                                                                                                                                         
MD	24005402504	7960311	12490	3.073	0.005	39.3673739	-76.8285767                                                                                                                                         
MD	24005402505	1252893	1753	0.484	0.001	39.380129	-76.8138013                                                                                                                                           
MD	24005402506	2290488	2042	0.884	0.001	39.3774726	-76.800525                                                                                                                                           
