trip_id,arrival_time,departure_time,stop_id,stop_sequence
18,07:45:42,07:45:42,9,11
18,07:47:30,07:47:30,10,12
18,07:50:22,07:50:22,11,13
18,07:52:58,07:52:58,12,14
18,07:55:46,07:55:46,18,15
18,07:57:52,07:57:52,13,16
18,08:00:28,08:00:28,14,17
18,08:04:31,08:04:31,16,18
18,08:06:15,08:06:15,15,19
19,07:24:00,07:24:00,0,1
19,07:25:57,07:25:57,1,2
19,07:29:33,07:29:33,2,3
19,07:31:56,07:31:56,17,4
19,07:36:53,07:36:53,3,5
19,07:43:10,07:43:10,4,6
19,07:45:40,07:45:40,5,7
19,07:47:34,07:47:34,6,8
19,07:49:51,07:49:51,7,9
19,07:52:08,07:52:08,8,10
19,07:53:42,07:53:42,9,11
19,07:55:30,07:55:30,10,12
19,07:58:22,07:58:22,11,13
19,08:00:58,08:00:58,12,14
19,08:03:46,08:03:46,18,15
19,08:05:52,08:05:52,13,16
19,08:08:28,08:08:28,14,17
19,08:12:31,08:12:31,16,18
19,08:14:15,08:14:15,15,19
20,07:32:00,07:32:00,0,1
20,07:33:57,07:33:57,1,2
20,07:37:33,07:37:33,2,3
20,07:39:56,07:39:56,17,4
20,07:44:53,07:44:53,3,5
20,07:51:10,07:51:10,4,6
20,07:53:40,07:53:40,5,7
20,07:55:34,07:55:34,6,8
20,07:57:51,07:57:51,7,9
20,08:00:08,08:00:08,8,10
20,08:01:42,08:01:42,9,11
20,08:03:30,08:03:30,10,12
20,08:06:22,08:06:22,11,13
20,08:08:58,08:08:58,12,14
20,08:11:46,08:11:46,18,15
20,08:13:52,08:13:52,13,16
20,08:16:28,08:16:28,14,17
20,08:20:31,08:20:31,16,18
20,08:22:15,08:22:15,15,19
21,07:40:00,07:40:00,0,1
21,07:41:57,07:41:57,1,2
21,07:45:33,07:45:33,2,3
21,07:47:56,07:47:56,17,4
21,07:52:53,07:52:53,3,5
21,07:59:10,07:59:10,4,6
21,08:01:40,08:01:40,5,7
21,08:03:34,08:03:34,6,8
21,08:05:51,08:05:51,7,9
21,08:08:08,08:08:08,8,10
21,08:09:42,08:09:42,9,11
21,08:11:30,08:11:30,10,12
21,08:14:22,08:14:22,11,13
21,08:16:58,08:16:58,12,14
21,08:19:46,08:19:46,18,15
21,08:21:52,08:21:52,13,16
21,08:24:28,08:24:28,14,17
21,08:28:31,08:28:31,16,18
21,08:30:15,08:30:15,15,19
22,07:48:00,07:48:00,0,1
22,07:49:57,07:49:57,1,2
22,07:53:33,07:53:33,2,3
22,07:55:56,07:55:56,17,4
22,08:00:53,08:00:53,3,5
22,08:07:10,08:07:10,4,6
22,08:09:40,08:09:40,5,7
22,08:11:34,08:11:34,6,8
22,08:13:51,08:13:51,7,9
22,08:16:08,08:16:08,8,10
22,08:17:42,08:17:42,9,11
22,08:19:30,08:19:30,10,12
22,08:22:22,08:22:22,11,13
