shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED,39.29317,-76.65174,59,6.595778483633913
RED,39.29342,-76.64553,60,6.929107161704254
RED,39.29354,-76.63985,61,7.233690859274168
RED,39.2938023,-76.6325182,62,7.627120526581489
RED,39.2938006,-76.6321031,63,7.64937178793088
RED,39.2937015,-76.63166,64,7.674087948962597
RED,39.2934426,-76.6313591,65,7.6981534683795205
RED,39.2884263,-76.6286205,66,8.074056410394787
RED,39.2881387,-76.6284657,67,8.095562161118965
RED,39.2878677,-76.6282197,68,8.11844046190385
RED,39.2876799,-76.6279332,69,8.138533652907103
RED,39.2875169,-76.62755,70,8.161952611180219
RED,39.2874018,-76.6270381,71,8.190520520723998
RED,39.2873198,-76.6264082,72,8.224759200354477
RED,39.2878311,-76.6113598,73,9.032253328523565
RED,39.287784,-76.6093519,74,9.139942675640192
RED,39.28791,-76.606487,75,9.293771084728801
RED,39.2878877,-76.6059085,76,9.324821639328018
RED,39.2878156,-76.6053407,77,9.355664169173712
RED,39.2876217,-76.6047766,78,9.388730980206738
RED,39.2872409,-76.6042394,79,9.427711096269826
RED,39.2869014,-76.6039751,80,9.455083992486445
RED,39.28509,-76.60288,81,9.593147729081718
RED,39.2848646,-76.6026986,82,9.611487696881786
RED,39.284664,-76.6024636,83,9.63020199378979
RED,39.2844612,-76.6021252,84,9.653111707405369
RED,39.2843247,-76.6017601,85,9.67483237197025
RED,39.2842553,-76.6014208,86,9.69364209705498
RED,39.2842108,-76.6009904,87,9.71691964103298
RED,39.28429,-76.5991,88,9.818413264605717
RED,39.2847914,-76.587719,89,10.429538522734921
RED,39.2847445,-76.5873244,90,10.450939294970292
RED,39.2846515,-76.5869685,91,10.471069111298318
RED,39.28122,-76.58142,92,10.851232414116867
RED,39.27859,-76.57692,93,11.153103167643497
RED,39.27712,-76.57009,94,11.533082142285119
RED,39.27706,-76.56945,95,11.567645483815719
RED,39.27716,-76.5669,96,11.704541640573362
RED,39.2771794,-76.565389,97,11.785567248675891
RED,39.2772599,-76.5632208,98,11.901951059410628
RED,39.2773423,-76.5628148,99,11.924449269203146
RED,39.2774724,-76.5625187,100,11.942686343669369
RED,39.2776003,-76.5623422,101,11.955624743506835
RED,39.2777385,-76.5622248,102,11.96704899057874
RED,39.2779357,-76.5620816,103,11.98266993672358
RED,39.2780426,-76.5620221,104,11.990704886529482
RED,39.2781827,-76.5619841,105,12.000582116034321
RED,39.281284,-76.5621887,106,12.21480677354801
RED,39.2816985,-76.5620495,107,12.244358975393968
RED,39.28327,-76.56129,108,12.36016390516483
RED,39.28425,-76.56123,109,12.427845873612693
RED,39.28987,-76.56163,110,12.816135433239472
RED,39.2899974,-76.5615862,111,12.825232391021457
RED,39.290133,-76.5615103,112,12.835433348841939
RED,39.2902656,-76.5613626,113,12.847531515016536
RED,39.2903483,-76.561172,114,12.859233788233132
RED,39.2904136,-76.5610049,115,12.869260349044046
RED,39.290454,-76.5607949,116,12.8808575559303
RED,39.2904383,-76.553413,117,13.276576079867203
RED,39.2905306,-76.5500919,118,13.454722006871034
RED,39.2905597,-76.5499365,119,13.463290896590243
RED,39.2906138,-76.5498134,120,13.470872091955037
RED,39.2907053,-76.549726,121,13.478733022105192
RED,39.2908176,-76.5496815,122,13.486839020498547
RED,39.2911942,-76.5497624,123,13.513178345257153
RED,39.2915485,-76.5499354,124,13.539320060094422
RED,39.2917815,-76.5501093,125,13.557901211667804
RED,39.2930598,-76.5515967,126,13.676785937034317
RED,39.293382,-76.5518196,127,13.702020962403173
RED,39.2937125,-76.551903,128,13.725254769763888
RED,39.2940342,-76.5519073,129,13.747448540996624
RED,39.29441,-76.5517481,130,13.774741631306116
RED,39.2963226,-76.5503778,131,13.92575046923292
RED,39.2964798,-76.5501052,132,13.943946888914544
RED,39.2965539,-76.5498113,133,13.960509052321179
RED,39.2965749,-76.5481592,134,14.04907631789788
RED,39.2965128,-76.5478483,135,14.066282931228052
RED,39.2962077,-76.5471612,136,14.108702648479667
